iid,id,gender,idg,condtn,wave,round,position,order,partner,pid,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,age,field_cd,race,imprace,imprelig,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,match
1,1,0,0,0,1,10,2.857143,9,10,20,2.701149,0,1.621622,2,10,0,0,0,0,0,0.810811,0,6,2,3.333333,2,10,0,0,8.888889,1.111111,7.777778,8.888889,1,1,5,0.714286,5,4.166667,8.888889,1,10,10,8.888889,7.777778,1,2.222222,1.5,3.333333,4,3,2.830189,5,3.5,4,3.75,4,1,1.666667,0.430108,7.777778,7.777778,7.777778,6.666667,0
1,1,0,0,0,1,10,2.857143,4,1,11,5.574713,0,2.432432,2,3.5,3.333333,4,4,0,1.666667,0.810811,0,6,2,3.333333,2,10,0,0,8.888889,1.111111,7.777778,8.888889,1,1,5,0.714286,5,4.166667,8.888889,1,10,10,8.888889,7.777778,1,2.222222,1.5,3.333333,4,3,2.830189,5,3.5,4,3.75,4,1,1.666667,0.430108,7.777778,7.777778,7.777778,6.666667,0
1,1,0,0,0,1,10,2.857143,10,3,13,5.689655,10,1.081081,6,1.9,3,3.8,3.6,2.641509,4,0.810811,0,6,2,3.333333,2,10,0,0,8.888889,1.111111,7.777778,8.888889,1,1,5,0.714286,5,4.166667,8.888889,1,10,10,8.888889,7.777778,1,2.222222,1.5,3.333333,4,3,2.830189,5,3.5,4,3.75,4,1,1.666667,0.430108,7.777778,7.777778,7.777778,6.666667,1
1,1,0,0,0,1,10,2.857143,7,5,15,5.977011,0,1.621622,4,3,1.666667,4,2,1.886792,6.666667,0.810811,0,6,2,3.333333,2,10,0,0,8.888889,1.111111,7.777778,8.888889,1,1,5,0.714286,5,4.166667,8.888889,1,10,10,8.888889,7.777778,1,2.222222,1.5,3.333333,4,3,2.830189,5,3.5,4,3.75,4,1,1.666667,0.430108,7.777778,7.777778,7.777778,6.666667,1
1,1,0,0,0,1,10,2.857143,6,6,16,6.206897,0,1.891892,2,5,0,6,2,0,3.333333,0.810811,0,6,2,3.333333,2,10,0,0,8.888889,1.111111,7.777778,8.888889,1,1,5,0.714286,5,4.166667,8.888889,1,10,10,8.888889,7.777778,1,2.222222,1.5,3.333333,4,3,2.830189,5,3.5,4,3.75,4,1,1.666667,0.430108,7.777778,7.777778,7.777778,6.666667,0
1,1,0,0,0,1,10,2.857143,8,9,19,6.37931,0,2.702703,2,5,0,5,2,0,5,0.810811,0,6,2,3.333333,2,10,0,0,8.888889,1.111111,7.777778,8.888889,1,1,5,0.714286,5,4.166667,8.888889,1,10,10,8.888889,7.777778,1,2.222222,1.5,3.333333,4,3,2.830189,5,3.5,4,3.75,4,1,1.666667,0.430108,7.777778,7.777778,7.777778,6.666667,1
1,1,0,0,0,1,10,2.857143,1,7,17,6.724138,0,3.243243,2,3.5,2.5,5,2,0.943396,3.333333,0.810811,0,6,2,3.333333,2,10,0,0,8.888889,1.111111,7.777778,8.888889,1,1,5,0.714286,5,4.166667,8.888889,1,10,10,8.888889,7.777778,1,2.222222,1.5,3.333333,4,3,2.830189,5,3.5,4,3.75,4,1,1.666667,0.430108,7.777778,7.777778,7.777778,6.666667,0
1,1,0,0,0,1,10,2.857143,2,8,18,7.643678,0,2.432432,2,3.333,1.851667,2.222,2.222,2.096226,7.406667,0.810811,0,6,2,3.333333,2,10,0,0,8.888889,1.111111,7.777778,8.888889,1,1,5,0.714286,5,4.166667,8.888889,1,10,10,8.888889,7.777778,1,2.222222,1.5,3.333333,4,3,2.830189,5,3.5,4,3.75,4,1,1.666667,0.430108,7.777778,7.777778,7.777778,6.666667,0
1,1,0,0,0,1,10,2.857143,3,2,12,7.873563,0,1.081081,2,6,0,0,8,0,0,0.810811,0,6,2,3.333333,2,10,0,0,8.888889,1.111111,7.777778,8.888889,1,1,5,0.714286,5,4.166667,8.888889,1,10,10,8.888889,7.777778,1,2.222222,1.5,3.333333,4,3,2.830189,5,3.5,4,3.75,4,1,1.666667,0.430108,7.777778,7.777778,7.777778,6.666667,0
1,1,0,0,0,1,10,2.857143,5,4,14,8.275862,0,1.351351,2,3,0.833333,3,8,0.943396,1.666667,0.810811,0,6,2,3.333333,2,10,0,0,8.888889,1.111111,7.777778,8.888889,1,1,5,0.714286,5,4.166667,8.888889,1,10,10,8.888889,7.777778,1,2.222222,1.5,3.333333,4,3,2.830189,5,3.5,4,3.75,4,1,1.666667,0.430108,7.777778,7.777778,7.777778,6.666667,1
4,4,0,1.395349,0,1,10,2.380952,7,9,19,2.068966,10,2.702703,2,5,0,5,2,0,5,1.351351,0,2,1,0,0,6.666667,0,0,0,0,5.555556,6.666667,6,7,7,3.571429,7,5,6.666667,9,7,8,6.666667,0,8,0,2,3.333333,4,4,1.886792,3.333333,3,2,3.75,6,1,3.333333,0.537634,7.777778,8.888889,6.666667,7.777778,1
4,4,0,1.395349,0,1,10,2.380952,8,10,20,3.678161,10,1.621622,2,10,0,0,0,0,0,1.351351,0,2,1,0,0,6.666667,0,0,0,0,5.555556,6.666667,6,7,7,3.571429,7,5,6.666667,9,7,8,6.666667,0,8,0,2,3.333333,4,4,1.886792,3.333333,3,2,3.75,6,1,3.333333,0.537634,7.777778,8.888889,6.666667,7.777778,0
4,4,0,1.395349,0,1,10,2.380952,4,4,14,3.735632,10,1.351351,2,3,0.833333,3,8,0.943396,1.666667,1.351351,0,2,1,0,0,6.666667,0,0,0,0,5.555556,6.666667,6,7,7,3.571429,7,5,6.666667,9,7,8,6.666667,0,8,0,2,3.333333,4,4,1.886792,3.333333,3,2,3.75,6,1,3.333333,0.537634,7.777778,8.888889,6.666667,7.777778,1
4,4,0,1.395349,0,1,10,2.380952,2,2,12,3.735632,10,1.081081,2,6,0,0,8,0,0,1.351351,0,2,1,0,0,6.666667,0,0,0,0,5.555556,6.666667,6,7,7,3.571429,7,5,6.666667,9,7,8,6.666667,0,8,0,2,3.333333,4,4,1.886792,3.333333,3,2,3.75,6,1,3.333333,0.537634,7.777778,8.888889,6.666667,7.777778,0
4,4,0,1.395349,0,1,10,2.380952,3,1,11,3.735632,10,2.432432,2,3.5,3.333333,4,4,0,1.666667,1.351351,0,2,1,0,0,6.666667,0,0,0,0,5.555556,6.666667,6,7,7,3.571429,7,5,6.666667,9,7,8,6.666667,0,8,0,2,3.333333,4,4,1.886792,3.333333,3,2,3.75,6,1,3.333333,0.537634,7.777778,8.888889,6.666667,7.777778,0
4,4,0,1.395349,0,1,10,2.380952,9,3,13,5.057471,0,1.081081,6,1.9,3,3.8,3.6,2.641509,4,1.351351,0,2,1,0,0,6.666667,0,0,0,0,5.555556,6.666667,6,7,7,3.571429,7,5,6.666667,9,7,8,6.666667,0,8,0,2,3.333333,4,4,1.886792,3.333333,3,2,3.75,6,1,3.333333,0.537634,7.777778,8.888889,6.666667,7.777778,0
4,4,0,1.395349,0,1,10,2.380952,1,8,18,5.632184,10,2.432432,2,3.333,1.851667,2.222,2.222,2.096226,7.406667,1.351351,0,2,1,0,0,6.666667,0,0,0,0,5.555556,6.666667,6,7,7,3.571429,7,5,6.666667,9,7,8,6.666667,0,8,0,2,3.333333,4,4,1.886792,3.333333,3,2,3.75,6,1,3.333333,0.537634,7.777778,8.888889,6.666667,7.777778,0
4,4,0,1.395349,0,1,10,2.380952,6,5,15,5.977011,0,1.621622,4,3,1.666667,4,2,1.886792,6.666667,1.351351,0,2,1,0,0,6.666667,0,0,0,0,5.555556,6.666667,6,7,7,3.571429,7,5,6.666667,9,7,8,6.666667,0,8,0,2,3.333333,4,4,1.886792,3.333333,3,2,3.75,6,1,3.333333,0.537634,7.777778,8.888889,6.666667,7.777778,0
4,4,0,1.395349,0,1,10,2.380952,10,7,17,6.781609,10,3.243243,2,3.5,2.5,5,2,0.943396,3.333333,1.351351,0,2,1,0,0,6.666667,0,0,0,0,5.555556,6.666667,6,7,7,3.571429,7,5,6.666667,9,7,8,6.666667,0,8,0,2,3.333333,4,4,1.886792,3.333333,3,2,3.75,6,1,3.333333,0.537634,7.777778,8.888889,6.666667,7.777778,0
4,4,0,1.395349,0,1,10,2.380952,5,6,16,6.896552,10,1.891892,2,5,0,6,2,0,3.333333,1.351351,0,2,1,0,0,6.666667,0,0,0,0,5.555556,6.666667,6,7,7,3.571429,7,5,6.666667,9,7,8,6.666667,0,8,0,2,3.333333,4,4,1.886792,3.333333,3,2,3.75,6,1,3.333333,0.537634,7.777778,8.888889,6.666667,7.777778,0
5,5,0,1.860465,0,1,10,1.428571,1,1,11,2.298851,10,2.432432,2,3.5,3.333333,4,4,0,1.666667,0.810811,0,2,8,0,2,5,0,0,6.666667,3.333333,6.666667,6.666667,6,8,6,4.285714,8,4.166667,7.777778,6,6,3,6.666667,7.777778,3,6.666667,2,0.833333,5,5,1.886792,5,5,2,2.5,4,1,1.666667,0.430108,2.222222,5.555556,10,7.777778,0
