iid,id,gender,idg,condtn,wave,round,position,order,partner,pid,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,age,field_cd,race,imprace,imprelig,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,match
4,4,0,1.395349,0,1,2.941176,2.380952,3.333333,10,20,3.678161,10,1.621622,2,10,0,0,0,0,0,1.351351,0,2,1,0,0,6.666667,0,0,0,0,5.555556,6.666667,5.555556,6.666667,7,3.571429,6.666667,5,6.666667,8.888889,6.25,7.777778,6.666667,0,7.777778,0,2,3.333333,4,4,1.886792,3.333333,3,2,3.75,6,1,3.333333,6.25,7.5,8.75,5.714286,7.5,0
4,4,0,1.395349,0,1,2.941176,2.380952,0.47619,2,12,3.735632,10,1.081081,2,6,0,0,8,0,0,1.351351,0,2,1,0,0,6.666667,0,0,0,0,5.555556,6.666667,5.555556,6.666667,7,3.571429,6.666667,5,6.666667,8.888889,6.25,7.777778,6.666667,0,7.777778,0,2,3.333333,4,4,1.886792,3.333333,3,2,3.75,6,1,3.333333,6.25,7.5,8.75,5.714286,7.5,0
4,4,0,1.395349,0,1,2.941176,2.380952,0.952381,1,11,3.735632,10,2.432432,2,3.5,3.333333,4,4,0,1.666667,1.351351,0,2,1,0,0,6.666667,0,0,0,0,5.555556,6.666667,5.555556,6.666667,7,3.571429,6.666667,5,6.666667,8.888889,6.25,7.777778,6.666667,0,7.777778,0,2,3.333333,4,4,1.886792,3.333333,3,2,3.75,6,1,3.333333,6.25,7.5,8.75,5.714286,7.5,0
4,4,0,1.395349,0,1,2.941176,2.380952,1.428571,4,14,3.735632,10,1.351351,2,3,0.833333,3,8,0.943396,1.666667,1.351351,0,2,1,0,0,6.666667,0,0,0,0,5.555556,6.666667,5.555556,6.666667,7,3.571429,6.666667,5,6.666667,8.888889,6.25,7.777778,6.666667,0,7.777778,0,2,3.333333,4,4,1.886792,3.333333,3,2,3.75,6,1,3.333333,6.25,7.5,8.75,5.714286,7.5,1
4,4,0,1.395349,0,1,2.941176,2.380952,1.904762,6,16,6.896552,10,1.891892,2,5,0,6,2,0,3.333333,1.351351,0,2,1,0,0,6.666667,0,0,0,0,5.555556,6.666667,5.555556,6.666667,7,3.571429,6.666667,5,6.666667,8.888889,6.25,7.777778,6.666667,0,7.777778,0,2,3.333333,4,4,1.886792,3.333333,3,2,3.75,6,1,3.333333,6.25,7.5,8.75,5.714286,7.5,0
4,4,0,1.395349,0,1,2.941176,2.380952,4.285714,7,17,6.781609,10,3.243243,2,3.5,2.5,5,2,0.943396,3.333333,1.351351,0,2,1,0,0,6.666667,0,0,0,0,5.555556,6.666667,5.555556,6.666667,7,3.571429,6.666667,5,6.666667,8.888889,6.25,7.777778,6.666667,0,7.777778,0,2,3.333333,4,4,1.886792,3.333333,3,2,3.75,6,1,3.333333,6.25,7.5,8.75,5.714286,7.5,0
4,4,0,1.395349,0,1,2.941176,2.380952,3.809524,3,13,5.057471,0,1.081081,6,1.9,3,3.8,3.6,2.641509,4,1.351351,0,2,1,0,0,6.666667,0,0,0,0,5.555556,6.666667,5.555556,6.666667,7,3.571429,6.666667,5,6.666667,8.888889,6.25,7.777778,6.666667,0,7.777778,0,2,3.333333,4,4,1.886792,3.333333,3,2,3.75,6,1,3.333333,6.25,7.5,8.75,5.714286,7.5,0
4,4,0,1.395349,0,1,2.941176,2.380952,2.857143,9,19,2.068966,10,2.702703,2,5,0,5,2,0,5,1.351351,0,2,1,0,0,6.666667,0,0,0,0,5.555556,6.666667,5.555556,6.666667,7,3.571429,6.666667,5,6.666667,8.888889,6.25,7.777778,6.666667,0,7.777778,0,2,3.333333,4,4,1.886792,3.333333,3,2,3.75,6,1,3.333333,6.25,7.5,8.75,5.714286,7.5,1
4,4,0,1.395349,0,1,2.941176,2.380952,2.380952,5,15,5.977011,0,1.621622,4,3,1.666667,4,2,1.886792,6.666667,1.351351,0,2,1,0,0,6.666667,0,0,0,0,5.555556,6.666667,5.555556,6.666667,7,3.571429,6.666667,5,6.666667,8.888889,6.25,7.777778,6.666667,0,7.777778,0,2,3.333333,4,4,1.886792,3.333333,3,2,3.75,6,1,3.333333,6.25,7.5,8.75,5.714286,7.5,0
4,4,0,1.395349,0,1,2.941176,2.380952,0,8,18,5.632184,10,2.432432,2,3.333,1.851667,2.222,2.222,2.096226,7.406667,1.351351,0,2,1,0,0,6.666667,0,0,0,0,5.555556,6.666667,5.555556,6.666667,7,3.571429,6.666667,5,6.666667,8.888889,6.25,7.777778,6.666667,0,7.777778,0,2,3.333333,4,4,1.886792,3.333333,3,2,3.75,6,1,3.333333,6.25,7.5,8.75,5.714286,7.5,0
5,5,0,1.860465,0,1,2.941176,1.428571,2.380952,10,20,4.425287,10,1.621622,2,10,0,0,0,0,0,0.810811,0,2,8,0,2,5,0,0,6.666667,3.333333,6.666667,6.666667,5.555556,7.777778,6,4.285714,7.777778,4.166667,7.777778,5.555556,5,2.222222,6.666667,7.777778,2.222222,6.666667,2,0.833333,5,5,1.886792,5,5,2,2.5,4,1,1.666667,5,1.25,5,10,7.5,0
5,5,0,1.860465,0,1,2.941176,1.428571,4.285714,2,12,4.770115,10,1.081081,2,6,0,0,8,0,0,0.810811,0,2,8,0,2,5,0,0,6.666667,3.333333,6.666667,6.666667,5.555556,7.777778,6,4.285714,7.777778,4.166667,7.777778,5.555556,5,2.222222,6.666667,7.777778,2.222222,6.666667,2,0.833333,5,5,1.886792,5,5,2,2.5,4,1,1.666667,5,1.25,5,10,7.5,0
5,5,0,1.860465,0,1,2.941176,1.428571,0,1,11,2.298851,10,2.432432,2,3.5,3.333333,4,4,0,1.666667,0.810811,0,2,8,0,2,5,0,0,6.666667,3.333333,6.666667,6.666667,5.555556,7.777778,6,4.285714,7.777778,4.166667,7.777778,5.555556,5,2.222222,6.666667,7.777778,2.222222,6.666667,2,0.833333,5,5,1.886792,5,5,2,2.5,4,1,1.666667,5,1.25,5,10,7.5,0
5,5,0,1.860465,0,1,2.941176,1.428571,0.47619,4,14,5.229885,10,1.351351,2,3,0.833333,3,8,0.943396,1.666667,0.810811,0,2,8,0,2,5,0,0,6.666667,3.333333,6.666667,6.666667,5.555556,7.777778,6,4.285714,7.777778,4.166667,7.777778,5.555556,5,2.222222,6.666667,7.777778,2.222222,6.666667,2,0.833333,5,5,1.886792,5,5,2,2.5,4,1,1.666667,5,1.25,5,10,7.5,1
5,5,0,1.860465,0,1,2.941176,1.428571,0.952381,6,16,5.114943,10,1.891892,2,5,0,6,2,0,3.333333,0.810811,0,2,8,0,2,5,0,0,6.666667,3.333333,6.666667,6.666667,5.555556,7.777778,6,4.285714,7.777778,4.166667,7.777778,5.555556,5,2.222222,6.666667,7.777778,2.222222,6.666667,2,0.833333,5,5,1.886792,5,5,2,2.5,4,1,1.666667,5,1.25,5,10,7.5,0
5,5,0,1.860465,0,1,2.941176,1.428571,3.333333,7,17,4.482759,10,3.243243,2,3.5,2.5,5,2,0.943396,3.333333,0.810811,0,2,8,0,2,5,0,0,6.666667,3.333333,6.666667,6.666667,5.555556,7.777778,6,4.285714,7.777778,4.166667,7.777778,5.555556,5,2.222222,6.666667,7.777778,2.222222,6.666667,2,0.833333,5,5,1.886792,5,5,2,2.5,4,1,1.666667,5,1.25,5,10,7.5,0
5,5,0,1.860465,0,1,2.941176,1.428571,2.857143,3,13,3.793103,0,1.081081,6,1.9,3,3.8,3.6,2.641509,4,0.810811,0,2,8,0,2,5,0,0,6.666667,3.333333,6.666667,6.666667,5.555556,7.777778,6,4.285714,7.777778,4.166667,7.777778,5.555556,5,2.222222,6.666667,7.777778,2.222222,6.666667,2,0.833333,5,5,1.886792,5,5,2,2.5,4,1,1.666667,5,1.25,5,10,7.5,0
5,5,0,1.860465,0,1,2.941176,1.428571,1.904762,9,19,4.022989,10,2.702703,2,5,0,5,2,0,5,0.810811,0,2,8,0,2,5,0,0,6.666667,3.333333,6.666667,6.666667,5.555556,7.777778,6,4.285714,7.777778,4.166667,7.777778,5.555556,5,2.222222,6.666667,7.777778,2.222222,6.666667,2,0.833333,5,5,1.886792,5,5,2,2.5,4,1,1.666667,5,1.25,5,10,7.5,1
5,5,0,1.860465,0,1,2.941176,1.428571,1.428571,5,15,3.850575,0,1.621622,4,3,1.666667,4,2,1.886792,6.666667,0.810811,0,2,8,0,2,5,0,0,6.666667,3.333333,6.666667,6.666667,5.555556,7.777778,6,4.285714,7.777778,4.166667,7.777778,5.555556,5,2.222222,6.666667,7.777778,2.222222,6.666667,2,0.833333,5,5,1.886792,5,5,2,2.5,4,1,1.666667,5,1.25,5,10,7.5,0
5,5,0,1.860465,0,1,2.941176,1.428571,3.809524,8,18,5.172414,10,2.432432,2,3.333,1.851667,2.222,2.222,2.096226,7.406667,0.810811,0,2,8,0,2,5,0,0,6.666667,3.333333,6.666667,6.666667,5.555556,7.777778,6,4.285714,7.777778,4.166667,7.777778,5.555556,5,2.222222,6.666667,7.777778,2.222222,6.666667,2,0.833333,5,5,1.886792,5,5,2,2.5,4,1,1.666667,5,1.25,5,10,7.5,0
6,6,0,2.325581,0,1,2.941176,3.333333,4.285714,10,20,7.241379,0,1.621622,2,10,0,0,0,0,0,1.351351,0,6,1,0,0,3.333333,0,0,10,7.777778,8.888889,6.666667,7.777778,6.666667,9,1.428571,5.555556,6.666667,1.111111,4.444444,5,5.555556,3.333333,0,0,3.333333,1,4.166667,4,5,0.943396,5,2.5,2,2.5,5,2,6.666667,3.75,6.25,7.5,8.571429,3.75,0
