iid,id,gender,idg,condtn,wave,round,position,order,partner,pid,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,age,field_cd,race,imprace,imprelig,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,match
230,17,1,34,2,9,20,9,13,8,201,-0.83,1,25,2,15.38,17.31,17.31,17.31,17.31,15.38,42,13,2,5,1,2,7,3,7,1,1,2,1,10,10,10,1,1,10,10,10,10,5,10,10,6,5,23.81,23.81,23.81,23.81,2.38,2.38,16.67,16.67,16.67,16.67,16.67,16.67,6,6,6,6,6,1
201,8,0,15,2,9,20,9,13,17,230,-0.83,1,42,2,23.81,23.81,23.81,23.81,2.38,2.38,25,8,2,8,8,1,4,2,7,8,8,8,8,7,7,7,8,7,7,7,7,7,7,7,7,6,2,15.38,17.31,17.31,17.31,17.31,15.38,25.71,17.14,14.29,22.86,8.57,11.43,7,8,9,9,8,1
519,11,0,21,2,21,22,20,16,14,544,-0.73,0,23,4,15,25,20,10,10,20,26,9,2,8,9,2,4,2,13,9,5,9,5,8,7,7,2,3,9,4,7,8,7,8,2,2,6,40,5,30,15,5,5,80,2,5,10,1,2,8,10,9,9,10,0
544,14,1,28,2,21,22,20,16,11,519,-0.73,0,26,2,40,5,30,15,5,5,23,5,4,3,8,1,7,3,4,3,4,3,10,7,8,5,14,9,2,10,7,8,8,9,10,3,5,15,25,20,10,10,20,20,20,10,20,10,20,7,10,10,9,8,0
267,16,0,31,2,11,21,21,21,5,277,-0.7,0,25,2,60,20,0,20,0,0,26,10,4,2,2,1,3,3,4,4,8,5,9,7,6,4,7,8,3,9,5,9,4,9,10,2,4,20,30,10,15,10,15,20,30,20,10,20,10,7,6,5,7,7,0
277,5,1,10,2,11,21,21,21,16,267,-0.7,0,26,4,20,30,10,15,10,15,25,10,2,1,1,1,7,5,2,10,6,10,5,8,8,10,5,3,8,2,7,8,6,6,1,2,5,60,20,0,20,0,0,50,0,0,0,50,0,4,8,8,8,5,0
544,14,1,28,2,21,22,10,6,7,515,-0.64,0,23,2,20,20,20,15,10,15,23,5,4,3,8,1,7,3,4,3,4,3,10,7,8,5,14,9,2,10,7,8,8,9,10,3,5,15,25,20,10,10,20,20,20,10,20,10,20,7,10,10,9,8,0
515,7,0,13,2,21,22,10,6,14,544,-0.64,0,23,4,15,25,20,10,10,20,23,6,2,8,5,1,6,3,16,10,10,8,9,9,8,10,3,8,9,8,9,10,7,10,5,9,6,20,20,20,15,10,15,30,15,20,15,5,15,8,10,8,10,8,0
73,8,1,16,1,3,10,1,1,10,65,-0.63,0,23,6,17,17,17,17,17,15,22,8,2,7,3,6,4,2,7,9,9,7,6,5,4,4,6,6,5,5,5,7,7,6,4,1,2,30,10,20,30,0,10,20,10,20,30,10,10,7,7,8,7,8,0
167,10,1,20,2,7,16,9,16,1,142,-0.63,1,24,2,14.29,14.29,21.43,21.43,19.05,9.52,23,10,2,1,1,2,6,2,2,9,9,8,6,8,8,9,2,5,6,5,6,8,6,7,3,2,3,18.6,13.95,18.6,16.28,16.28,16.28,13.64,18.18,20.45,13.64,15.91,18.18,6,7,7,7,5,1
247,5,1,10,1,10,9,1,2,2,235,-0.63,0,23,2,15,15,20,20,20,10,25,10,4,1,1,1,6,4,2,5,4,7,1,3,2,9,4,2,5,3,3,3,3,3,2,6,6,20,30,10,15,0,25,30,12,20,23,5,10,5,10,2,8,4,0
65,10,0,19,1,3,10,1,1,8,73,-0.63,0,22,2,30,10,20,30,0,10,23,11,6,6,3,2,5,3,3,7,5,7,8,8,8,8,8,9,8,8,8,9,8,8,9,6,7,17,17,17,17,17,15,20,18,18,14,15,15,7,9,9,8,9,0
235,2,0,3,1,10,9,1,2,5,247,-0.63,0,25,4,20,30,10,15,0,25,23,9,2,3,1,1,4,3,2,1,3,3,10,9,10,2,1,7,7,1,9,9,6,10,10,7,5,15,15,20,20,20,10,25,10,10,25,10,20,6,9,9,8,9,0
142,1,0,1,2,7,16,9,16,10,167,-0.63,1,23,2,18.6,13.95,18.6,16.28,16.28,16.28,24,13,2,1,4,1,5,2,2,5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6,7,14.29,14.29,21.43,21.43,19.05,9.52,19.57,13.04,17.39,19.57,15.22,15.22,9,9,9,10,7,1
310,3,1,6,2,12,14,13,9,10,302,-0.62,1,21,2,50,5,20,10,5,10,25,5,2,7,8,1,3,1,10,2,2,3,7,6,6,3,8,5,9,8,7,9,5,6,5,3,6,24,15,20,20,8,13,21,17,16,15,13,18,7,6,8,7,4,0
302,10,0,18,2,12,14,13,9,3,310,-0.62,1,25,2,24,15,20,20,8,13,21,3,2,8,7,2,3,1,12,10,10,9,7,5,6,6,6,8,5,7,7,7,9,9,6,6,8,50,5,20,10,5,10,70,5,5,15,0,5,8,8,8,8,10,0
386,8,0,15,2,15,19,14,5,14,410,-0.62,1,27,2,20,20,20,20,10,10,26,3,2,4,2,2,7,2,3,1,3,5,8,7,7,2,5,7,8,8,9,9,8,8,8,3,4,15,10,30,10,15,20,40,5,10,20,10,15,7,8,9,9,9,0
410,14,1,28,2,15,18,14,5,8,386,-0.62,1,26,2,15,10,30,10,15,20,27,8,2,8,8,1,5,1,7,10,8,5,8,1,1,8,10,1,8,2,2,4,4,5,1,1,5,20,20,20,20,10,10,30,10,10,20,10,10,7,10,6,10,10,0
414,18,1,36,2,15,18,11,18,17,395,-0.61,1,33,2,20,20,20,10,10,20,29,8,2,2,10,6,1,1,7,10,5,9,5,0,0,5,5,0,8,7,0,0,0,1,2,0,5,95,1,1,1,1,1,95,1,1,1,1,1,95,1,1,1,1,0
43,4,1,8,2,2,19,14,4,19,38,-0.61,0,23,1,50,10,20,10,10,0,24,8,2,1,1,6,6,3,2,8,9,6,5,7,7,2,5,5,9,6,7,4,6,5,2,1,3,25,35,30,10,0,0,20,25,20,20,5,10,3,8,3,7,2,0
38,19,0,34,2,2,16,14,4,4,43,-0.61,0,24,2,25,35,30,10,0,0,23,1,1,8,1,1,4,3,1,7,2,7,10,2,2,7,4,7,2,8,8,10,10,10,10,2,2,50,10,20,10,10,0,70,5,5,15,0,5,8,2,7,8,8,0
395,17,0,33,2,15,19,11,19,18,414,-0.61,1,29,2,95,1,1,1,1,1,33,6,2,1,2,3,4,2,6,3,4,4,10,8,8,6,1,8,9,3,10,10,7,9,7,8,4,20,20,20,10,10,20,30,20,10,20,10,10,8,8,7,9,7,0
286,14,1,28,2,11,21,21,8,16,267,-0.59,0,26,4,20,30,10,15,10,15,22,2,2,4,7,1,6,3,2,7,3,4,3,8,7,9,9,4,8,6,8,7,8,6,3,8,7,10,15,25,15,15,20,15,15,20,15,20,15,3,6,6,7,7,0
267,16,0,31,2,11,21,21,8,14,286,-0.59,0,22,2,10,15,25,15,15,20,26,10,4,2,2,1,3,3,4,4,8,5,9,7,6,4,7,8,3,9,5,9,4,9,10,2,4,20,30,10,15,10,15,20,30,20,10,20,10,7,6,5,7,7,0
169,12,1,24,2,7,16,9,5,1,142,-0.59,1,24,2,14.29,14.29,21.43,21.43,19.05,9.52,28,10,2,2,3,2,6,2,2,10,7,8,9,9,7,7,1,6,4,2,7,6,8,8,4,4,6,17.78,20,17.78,15.56,15.56,13.33,20,15.56,17.78,17.78,15.56,13.33,7,9,7,8,7,1
