iid,id,gender,partner,pid,match,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,prob_o,age,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,dec
1,1,0,7,17,0,0,3,6,7,5,8,1,21,6,8,8,8,7,1
1,1,0,1,11,0,0,6,8,8,8,8,4,21,6,8,8,8,7,1
1,1,0,2,12,0,0,7,8,10,7,7,4,21,6,8,8,8,7,1
1,1,0,8,18,0,0,6,7,5,6,8,5,21,6,8,8,8,7,0
1,1,0,5,15,1,1,8,7,9,6,9,6,21,6,8,8,8,7,1
1,1,0,6,16,0,1,7,7,8,8,7,6,21,6,8,8,8,7,0
1,1,0,10,20,0,0,6,6,6,6,6,6,21,6,8,8,8,7,1
1,1,0,4,14,1,1,7,8,9,8,9,7,21,6,8,8,8,7,1
1,1,0,9,19,1,1,7,7,8,8,8,8,21,6,8,8,8,7,1
1,1,0,3,13,1,1,10,10,10,10,10,10,21,6,8,8,8,7,1
2,2,0,5,15,0,1,10,10,10,10,7,1,24,7,5,10,8,3,0
2,2,0,1,11,0,0,8,7,6,9,7,2,24,7,5,10,8,3,0
2,2,0,7,17,0,0,5,3,4,3,5,3,24,7,5,10,8,3,1
2,2,0,2,12,0,0,7,6,10,6,6,4,24,7,5,10,8,3,0
2,2,0,6,16,0,1,7,8,7,5,7,5,24,7,5,10,8,3,0
2,2,0,8,18,0,1,7,7,7,7,7,6,24,7,5,10,8,3,0
2,2,0,4,14,1,1,9,9,9,9,9,7,24,7,5,10,8,3,1
2,2,0,9,19,1,1,8,6,9,9,8,8,24,7,5,10,8,3,1
2,2,0,10,20,0,0,6,5,7,7,9,9,24,7,5,10,8,3,1
2,2,0,3,13,0,1,10,10,10,10,10,10,24,7,5,10,8,3,0
3,3,0,8,18,0,0,4,5,6,4,6,1,25,8,9,8,9,8,0
3,3,0,1,11,0,0,7,8,6,5,8,2,25,8,9,8,9,8,0
3,3,0,7,17,0,0,6,3,5,4,5,2,25,8,9,8,9,8,0
3,3,0,2,12,0,0,6,7,10,6,6,3,25,8,9,8,9,8,0
3,3,0,10,20,0,0,5,6,8,5,8,5,25,8,9,8,9,8,0
3,3,0,4,14,0,1,7,9,8,8,8,7,25,8,9,8,9,8,0
3,3,0,9,19,0,1,7,7,6,8,7,7,25,8,9,8,9,8,0
3,3,0,6,16,0,1,7,6,6,6,6,7,25,8,9,8,9,8,0
3,3,0,3,13,0,1,10,10,10,10,10,10,25,8,9,8,9,8,0
4,4,0,1,11,0,0,6,7,8,7,7,3,23,7,8,9,7,8,0
4,4,0,2,12,0,0,6,5,10,6,6,3,23,7,8,9,7,8,0
4,4,0,7,17,0,1,7,6,3,5,6,4,23,7,8,9,7,8,0
4,4,0,6,16,0,1,6,6,7,7,8,6,23,7,8,9,7,8,0
4,4,0,5,15,0,1,8,8,9,8,8,7,23,7,8,9,7,8,0
4,4,0,10,20,0,0,7,8,8,7,8,7,23,7,8,9,7,8,1
4,4,0,8,18,0,0,6,7,8,6,6,7,23,7,8,9,7,8,0
4,4,0,9,19,1,1,7,7,7,10,9,8,23,7,8,9,7,8,1
4,4,0,3,13,0,1,10,10,10,10,10,10,23,7,8,9,7,8,0
4,4,0,4,14,1,1,7,7,7,9,9,10,23,7,8,9,7,8,1
5,5,0,7,17,0,0,2,3,4,4,5,3,21,6,3,6,10,8,1
5,5,0,2,12,0,0,6,7,10,7,6,4,21,6,3,6,10,8,0
5,5,0,1,11,0,0,6,8,8,8,7,5,21,6,3,6,10,8,0
5,5,0,8,18,0,0,5,5,6,5,5,5,21,6,3,6,10,8,1
5,5,0,4,14,1,1,6,8,6,8,10,7,21,6,3,6,10,8,1
5,5,0,6,16,0,0,5,8,7,7,7,7,21,6,3,6,10,8,1
5,5,0,9,19,1,1,5,9,9,9,9,7,21,6,3,6,10,8,1
5,5,0,5,15,0,0,5,9,9,7,9,7,21,6,3,6,10,8,0
5,5,0,3,13,0,1,10,10,10,10,10,10,21,6,3,6,10,8,0
5,5,0,10,20,0,0,3,10,7,7,10,10,21,6,3,6,10,8,1
6,6,0,5,15,0,1,9,7,9,7,9,2,23,5,7,8,9,5,0
6,6,0,7,17,0,0,5,6,8,4,5,3,23,5,7,8,9,5,1
6,6,0,2,12,0,0,6,8,10,6,7,4,23,5,7,8,9,5,1
6,6,0,1,11,0,0,7,9,8,9,8,4,23,5,7,8,9,5,1
6,6,0,6,16,0,1,6,6,8,8,8,6,23,5,7,8,9,5,0
6,6,0,9,19,1,1,6,7,7,6,6,6,23,5,7,8,9,5,1
6,6,0,8,18,0,0,6,7,8,7,8,6,23,5,7,8,9,5,0
6,6,0,4,14,1,1,6,8,8,7,9,7,23,5,7,8,9,5,1
6,6,0,10,20,0,0,7,10,10,6,10,7,23,5,7,8,9,5,1
6,6,0,3,13,0,1,10,10,10,10,10,10,23,5,7,8,9,5,0
7,7,0,1,11,0,0,7,8,8,8,7,4,22,6,6,5,7,7,0
7,7,0,5,15,0,1,8,7,9,6,9,4,22,6,6,5,7,7,0
7,7,0,2,12,0,1,7,9,10,6,6,4,22,6,6,5,7,7,0
7,7,0,7,17,0,0,7,6,5,4,4,4,22,6,6,5,7,7,1
7,7,0,8,18,0,1,8,7,6,7,7,5,22,6,6,5,7,7,0
7,7,0,4,14,1,1,8,8,9,8,9,7,22,6,6,5,7,7,1
7,7,0,10,20,0,0,7,6,8,6,8,7,22,6,6,5,7,7,1
7,7,0,6,16,0,1,8,8,8,6,6,7,22,6,6,5,7,7,0
7,7,0,9,19,1,1,9,7,9,9,9,9,22,6,6,5,7,7,1
7,7,0,3,13,0,1,10,10,10,10,10,10,22,6,6,5,7,7,0
8,8,0,2,12,1,1,8,8,10,7,6,4,25,7,4,8,8,8,1
8,8,0,1,11,0,0,8,7,6,6,6,4,25,7,4,8,8,8,1
8,8,0,7,17,0,0,6,4,7,5,6,4,25,7,4,8,8,8,1
8,8,0,8,18,1,1,9,8,8,8,7,5,25,7,4,8,8,8,1
8,8,0,6,16,1,1,8,7,7,7,8,6,25,7,4,8,8,8,1
8,8,0,4,14,1,1,8,8,8,8,8,7,25,7,4,8,8,8,1
8,8,0,9,19,1,1,8,7,8,10,8,8,25,7,4,8,8,8,1
8,8,0,10,20,1,1,8,10,9,9,8,8,25,7,4,8,8,8,1
8,8,0,3,13,1,1,10,10,10,10,10,10,25,7,4,8,8,8,1
9,9,0,1,11,0,0,6,8,7,8,7,4,26,7,6,10,7,7,1
9,9,0,7,17,1,1,8,6,7,8,6,4,26,7,6,10,7,7,1
9,9,0,2,12,1,1,8,8,10,7,6,4,26,7,6,10,7,7,1
9,9,0,6,16,1,1,6,6,7,8,7,5,26,7,6,10,7,7,1
9,9,0,8,18,0,0,7,7,7,7,6,5,26,7,6,10,7,7,1
9,9,0,9,19,1,1,6,6,6,7,6,6,26,7,6,10,7,7,1
9,9,0,10,20,0,0,5,6,6,6,6,6,26,7,6,10,7,7,1
9,9,0,4,14,1,1,7,8,7,8,8,7,26,7,6,10,7,7,1
9,9,0,5,15,1,1,7,9,8,9,7,8,26,7,6,10,7,7,1
9,9,0,3,13,1,1,10,10,10,10,10,10,26,7,6,10,7,7,1
10,10,0,2,12,0,0,1,1,1,1,1,1,26,6,8,10,6,9,0
10,10,0,1,11,0,0,7,8,7,8,6,3,26,6,8,10,6,9,0
10,10,0,8,18,0,0,6,6,6,6,6,6,26,6,8,10,6,9,0
10,10,0,7,17,0,0,7,7,4,3,4,6,26,6,8,10,6,9,1
10,10,0,5,15,0,1,6,9,9,7,8,6,26,6,8,10,6,9,0
10,10,0,4,14,0,1,7,8,7,9,8,7,26,6,8,10,6,9,0
10,10,0,10,20,0,0,6,6,6,6,6,7,26,6,8,10,6,9,1
10,10,0,9,19,1,1,7,7,7,7,6,8,26,6,8,10,6,9,1
10,10,0,3,13,1,1,10,10,10,10,10,10,26,6,8,10,6,9,1
11,1,1,10,10,0,0,6,10,10,6,6,3,27,8,9,7,8,5,0
11,1,1,7,7,0,0,4,8,8,5,7,4,27,8,9,7,8,5,0
11,1,1,2,2,0,0,5,7,8,4,6,4,27,8,9,7,8,5,0
11,1,1,9,9,0,1,8,10,9,8,7,5,27,8,9,7,8,5,0
11,1,1,8,8,0,1,5,8,7,4,7,5,27,8,9,7,8,5,0
11,1,1,5,5,0,0,5,8,8,2,2,5,27,8,9,7,8,5,0
11,1,1,6,6,0,1,6,9,7,6,7,6,27,8,9,7,8,5,0
11,1,1,1,1,0,1,6,9,7,7,6,6,27,8,9,7,8,5,0
11,1,1,3,3,0,0,7,9,10,7,8,7,27,8,9,7,8,5,0
11,1,1,4,4,0,0,4,10,8,5,8,7,27,8,9,7,8,5,0
12,2,1,4,4,0,0,8,7,8,10,7,1,22,9,9,9,10,9,0
12,2,1,10,10,0,0,1,1,1,1,1,1,22,9,9,9,10,9,0
12,2,1,2,2,0,0,8,5,6,6,9,3,22,9,9,9,10,9,0
12,2,1,7,7,0,0,6,6,8,4,9,3,22,9,9,9,10,9,1
12,2,1,5,5,0,0,8,6,6,5,5,4,22,9,9,9,10,9,0
12,2,1,9,9,1,1,10,10,10,10,10,5,22,9,9,9,10,9,1
12,2,1,1,1,0,1,7,8,7,8,5,5,22,9,9,9,10,9,0
12,2,1,6,6,0,1,6,9,9,6,8,6,22,9,9,9,10,9,0
12,2,1,3,3,0,0,9,7,9,8,9,7,22,9,9,9,10,9,0
12,2,1,8,8,1,1,8,7,7,9,6,7,22,9,9,9,10,9,1
13,3,1,4,4,0,0,4,7,8,8,6,1,22,4,7,8,8,3,1
13,3,1,6,6,0,0,4,7,9,4,3,2,22,4,7,8,8,3,1
13,3,1,8,8,1,1,5,8,8,6,7,5,22,4,7,8,8,3,1
13,3,1,9,9,1,1,5,10,10,6,6,5,22,4,7,8,8,3,1
13,3,1,5,5,0,0,4,6,8,8,6,5,22,4,7,8,8,3,1
13,3,1,10,10,1,1,6,10,10,10,6,6,22,4,7,8,8,3,1
13,3,1,3,3,0,0,7,9,9,7,9,7,22,4,7,8,8,3,1
13,3,1,2,2,0,0,5,8,9,6,3,7,22,4,7,8,8,3,1
13,3,1,7,7,0,0,3,6,8,7,8,8,22,4,7,8,8,3,1
14,4,1,10,10,0,0,10,10,10,10,10,1,23,9,9,9,9,9,1
14,4,1,5,5,1,1,8,5,5,7,7,2,23,9,9,9,9,9,1
14,4,1,6,6,1,1,8,6,7,8,2,4,23,9,9,9,9,9,1
14,4,1,9,9,1,1,10,9,8,8,7,5,23,9,9,9,9,9,1
14,4,1,1,1,1,1,7,6,8,7,6,6,23,9,9,9,9,9,1
14,4,1,7,7,1,1,7,8,8,7,7,6,23,9,9,9,9,9,1
14,4,1,8,8,1,1,8,6,5,6,6,6,23,9,9,9,9,9,1
14,4,1,3,3,0,0,9,7,9,7,9,7,23,9,9,9,9,9,1
14,4,1,2,2,1,1,7,9,7,6,5,8,23,9,9,9,9,9,1
14,4,1,4,4,1,1,8,10,7,10,7,10,23,9,9,9,9,9,1
15,5,1,10,10,0,0,5,7,7,7,7,1,24,7,7,7,9,9,1
15,5,1,6,6,0,0,5,4,8,8,4,3,24,7,7,7,9,9,1
15,5,1,5,5,0,0,6,7,7,5,4,4,24,7,7,7,9,9,0
15,5,1,8,8,1,1,6,8,8,5,6,5,24,7,7,7,9,9,1
15,5,1,9,9,1,1,5,10,8,8,5,5,24,7,7,7,9,9,1
15,5,1,2,2,0,0,6,8,7,9,7,6,24,7,7,7,9,9,1
15,5,1,1,1,1,1,5,6,7,7,6,6,24,7,7,7,9,9,1
15,5,1,7,7,0,0,4,7,7,4,8,6,24,7,7,7,9,9,1
15,5,1,4,4,0,0,6,9,8,9,8,7,24,7,7,7,9,9,1
16,6,1,10,10,0,0,5,10,6,4,6,1,25,6,6,8,8,6,0
16,6,1,6,6,0,0,3,7,6,1,1,2,25,6,6,8,8,6,1
16,6,1,5,5,0,1,5,6,7,5,7,3,25,6,6,8,8,6,0
16,6,1,4,4,0,0,5,10,8,4,8,3,25,6,6,8,8,6,1
16,6,1,8,8,1,1,6,8,8,5,6,5,25,6,6,8,8,6,1
16,6,1,9,9,1,1,8,9,9,7,6,5,25,6,6,8,8,6,1
16,6,1,1,1,0,0,4,9,7,4,6,5,25,6,6,8,8,6,1
16,6,1,7,7,0,0,4,8,7,4,5,5,25,6,6,8,8,6,1
16,6,1,2,2,0,0,8,7,8,3,6,5,25,6,6,8,8,6,1
17,7,1,4,4,0,0,7,10,10,7,10,1,30,7,7,6,8,4,1
17,7,1,10,10,0,1,5,10,8,6,9,1,30,7,7,6,8,4,0
17,7,1,5,5,0,1,6,6,8,5,5,3,30,7,7,6,8,4,0
17,7,1,1,1,0,1,7,6,7,4,6,5,30,7,7,6,8,4,0
17,7,1,9,9,1,1,6,8,9,6,6,5,30,7,7,6,8,4,1
17,7,1,8,8,0,1,6,7,8,5,7,6,30,7,7,6,8,4,0
17,7,1,3,3,0,0,8,9,10,7,7,7,30,7,7,6,8,4,0
17,7,1,2,2,0,1,7,5,9,6,7,7,30,7,7,6,8,4,0
17,7,1,7,7,0,1,7,7,8,7,7,7,30,7,7,6,8,4,0
17,7,1,6,6,0,1,8,8,8,8,3,7,30,7,7,6,8,4,0
18,8,1,8,8,1,1,5,6,7,4,5,4,27,6,8,6,8,9,1
18,8,1,5,5,0,1,5,5,7,6,7,4,27,6,8,6,8,9,0
18,8,1,9,9,0,1,6,7,8,7,9,5,27,6,8,6,8,9,0
18,8,1,6,6,0,0,4,8,9,2,8,5,27,6,8,6,8,9,0
18,8,1,10,10,0,0,5,6,6,4,5,5,27,6,8,6,8,9,0
18,8,1,4,4,0,0,5,9,9,5,9,6,27,6,8,6,8,9,0
18,8,1,2,2,0,0,5,8,7,5,9,6,27,6,8,6,8,9,1
18,8,1,3,3,0,0,7,9,9,8,9,7,27,6,8,6,8,9,0
18,8,1,1,1,0,0,4,9,7,6,5,7,27,6,8,6,8,9,0
18,8,1,7,7,0,0,5,7,8,5,9,7,27,6,8,6,8,9,1
19,9,1,5,5,1,1,7,5,7,8,7,4,28,10,6,10,10,10,1
19,9,1,6,6,1,1,7,6,8,8,6,6,28,10,6,10,10,10,1
19,9,1,7,7,1,1,6,6,8,8,8,6,28,10,6,10,10,10,1
19,9,1,9,9,1,1,8,5,5,6,5,6,28,10,6,10,10,10,1
19,9,1,2,2,1,1,7,6,8,9,4,6,28,10,6,10,10,10,1
19,9,1,3,3,0,0,9,9,9,9,9,7,28,10,6,10,10,10,1
19,9,1,1,1,1,1,7,6,8,9,8,7,28,10,6,10,10,10,1
19,9,1,4,4,1,1,9,8,10,10,7,8,28,10,6,10,10,10,1
19,9,1,10,10,1,1,9,9,9,9,9,9,28,10,6,10,10,10,1
19,9,1,8,8,1,1,8,8,5,9,8,10,28,10,6,10,10,10,1
20,10,1,5,5,0,1,9,6,7,9,6,3,24,7,7,10,10,10,0
20,10,1,9,9,0,1,7,8,7,8,7,5,24,7,7,10,10,10,0
20,10,1,7,7,0,1,8,6,7,7,8,5,24,7,7,10,10,10,0
20,10,1,1,1,0,1,5,6,6,8,10,6,24,7,7,10,10,10,0
20,10,1,8,8,1,1,7,6,8,7,9,7,24,7,7,10,10,10,1
20,10,1,2,2,0,1,6,7,8,7,9,7,24,7,7,10,10,10,0
20,10,1,3,3,0,0,8,7,9,7,9,7,24,7,7,10,10,10,0
20,10,1,4,4,0,1,8,9,10,10,8,8,24,7,7,10,10,10,0
20,10,1,6,6,0,1,8,9,9,9,10,8,24,7,7,10,10,10,0
20,10,1,10,10,0,1,9,9,8,10,8,10,24,7,7,10,10,10,0
21,1,0,1,40,0,0,3,10,10,6,4,1,21,5,9,7,9,10,0
21,1,0,9,48,0,0,3,8,5,5,8,2,21,5,9,7,9,10,0
21,1,0,4,43,0,0,4,5,6,4,6,2,21,5,9,7,9,10,0
21,1,0,13,52,0,0,6,6,8,6,7,3,21,5,9,7,9,10,0
21,1,0,12,51,0,0,2,8,8,3,2,3,21,5,9,7,9,10,0
21,1,0,15,54,0,0,5,7,7,7,7,5,21,5,9,7,9,10,0
