iid,id,gender,condtn,wave,round,order,partner,pid,match,dec_o,dec
11,1,1,1,1,10,4,1,1,0,1,0
11,1,1,1,1,10,10,2,2,0,0,0
11,1,1,1,1,10,6,3,3,0,0,0
11,1,1,1,1,10,3,4,4,0,0,0
11,1,1,1,1,10,1,5,5,0,0,0
11,1,1,1,1,10,5,6,6,0,1,0
11,1,1,1,1,10,2,7,7,0,0,0
11,1,1,1,1,10,7,8,8,0,1,0
11,1,1,1,1,10,8,9,9,0,1,0
11,1,1,1,1,10,9,10,10,0,0,0
1,1,0,1,1,10,4,1,11,0,0,1
1,1,0,1,1,10,3,2,12,0,0,1
1,1,0,1,1,10,10,3,13,1,1,1
1,1,0,1,1,10,5,4,14,1,1,1
1,1,0,1,1,10,7,5,15,1,1,1
1,1,0,1,1,10,6,6,16,0,1,0
1,1,0,1,1,10,1,7,17,0,0,1
1,1,0,1,1,10,2,8,18,0,0,0
1,1,0,1,1,10,8,9,19,1,1,1
1,1,0,1,1,10,9,10,20,0,0,1
40,1,1,2,2,19,8,1,21,0,0,0
40,1,1,2,2,19,10,2,22,0,0,0
40,1,1,2,2,19,6,3,23,0,1,0
40,1,1,2,2,19,13,4,24,0,0,0
40,1,1,2,2,19,15,5,25,0,0,0
40,1,1,2,2,19,16,6,26,0,0,0
40,1,1,2,2,19,7,7,27,0,0,0
40,1,1,2,2,19,4,8,28,0,0,0
40,1,1,2,2,19,12,9,29,0,0,0
40,1,1,2,2,19,18,10,30,0,0,0
40,1,1,2,2,19,11,11,31,0,0,0
40,1,1,2,2,19,2,12,32,0,0,0
40,1,1,2,2,19,3,13,33,0,1,0
40,1,1,2,2,19,5,14,34,0,0,0
40,1,1,2,2,19,1,15,35,0,1,0
40,1,1,2,2,19,9,16,36,0,0,0
40,1,1,2,2,19,14,17,37,0,0,0
40,1,1,2,2,19,17,19,38,0,0,0
40,1,1,2,2,19,19,20,39,0,1,0
21,1,0,2,2,16,6,1,40,0,0,0
21,1,0,2,2,16,7,2,41,0,0,0
21,1,0,2,2,16,8,3,42,0,0,1
21,1,0,2,2,16,11,4,43,0,0,0
21,1,0,2,2,16,15,5,44,0,1,0
21,1,0,2,2,16,2,6,45,0,1,0
21,1,0,2,2,16,5,7,46,0,0,0
21,1,0,2,2,16,12,8,47,0,1,0
21,1,0,2,2,16,16,9,48,0,0,0
21,1,0,2,2,16,3,10,49,0,0,1
21,1,0,2,2,16,4,11,50,0,0,0
21,1,0,2,2,16,13,12,51,0,0,0
21,1,0,2,2,16,14,13,52,0,0,0
21,1,0,2,2,16,9,14,53,0,0,0
21,1,0,2,2,16,10,15,54,0,0,0
21,1,0,2,2,16,1,16,55,0,0,0
66,1,1,1,3,10,7,1,56,0,0,1
66,1,1,1,3,10,6,2,57,0,0,0
66,1,1,1,3,10,9,3,58,0,0,1
66,1,1,1,3,10,10,4,59,0,0,0
66,1,1,1,3,10,8,5,60,1,1,1
66,1,1,1,3,10,1,6,61,0,0,0
66,1,1,1,3,10,5,7,62,0,0,1
66,1,1,1,3,10,4,8,63,0,1,0
66,1,1,1,3,10,2,9,64,0,1,0
66,1,1,1,3,10,3,10,65,0,0,1
56,1,0,1,3,10,7,1,66,0,1,0
56,1,0,1,3,10,3,2,67,0,1,0
56,1,0,1,3,10,8,3,68,0,0,0
56,1,0,1,3,10,9,4,69,1,1,1
56,1,0,1,3,10,4,5,70,1,1,1
56,1,0,1,3,10,2,6,71,0,1,0
56,1,0,1,3,10,1,7,72,0,1,0
56,1,0,1,3,10,5,8,73,0,0,1
56,1,0,1,3,10,10,9,74,0,0,0
56,1,0,1,3,10,6,10,75,0,1,0
94,1,1,2,4,18,9,1,76,1,1,1
94,1,1,2,4,18,14,2,77,1,1,1
94,1,1,2,4,18,2,3,78,0,0,0
94,1,1,2,4,18,1,4,79,0,0,0
94,1,1,2,4,18,18,5,80,0,0,0
94,1,1,2,4,18,5,6,81,0,0,1
94,1,1,2,4,18,10,7,82,1,1,1
94,1,1,2,4,18,16,8,83,0,0,1
94,1,1,2,4,18,17,9,84,0,0,0
94,1,1,2,4,18,6,10,85,0,0,0
94,1,1,2,4,18,11,11,86,0,0,1
94,1,1,2,4,18,13,12,87,0,0,0
94,1,1,2,4,18,12,13,88,0,0,0
94,1,1,2,4,18,7,14,89,0,0,0
94,1,1,2,4,18,8,15,90,0,0,0
94,1,1,2,4,18,15,16,91,0,0,1
94,1,1,2,4,18,3,17,92,0,0,0
94,1,1,2,4,18,4,18,93,0,0,1
76,1,0,2,4,18,9,1,94,1,1,1
76,1,0,2,4,18,11,2,95,0,0,0
76,1,0,2,4,18,17,3,96,0,1,0
76,1,0,2,4,18,5,4,97,0,0,1
76,1,0,2,4,18,14,5,98,0,1,0
76,1,0,2,4,18,2,6,99,0,0,1
76,1,0,2,4,18,15,7,100,0,0,0
76,1,0,2,4,18,18,8,101,0,1,0
76,1,0,2,4,18,4,9,102,0,1,0
76,1,0,2,4,18,1,10,103,0,0,0
76,1,0,2,4,18,10,11,104,0,0,0
76,1,0,2,4,18,13,12,105,1,1,1
76,1,0,2,4,18,3,13,106,0,0,1
76,1,0,2,4,18,12,14,107,1,1,1
76,1,0,2,4,18,16,15,108,0,0,1
76,1,0,2,4,18,8,16,109,1,1,1
76,1,0,2,4,18,7,17,110,1,1,1
76,1,0,2,4,18,6,18,111,0,0,1
122,1,1,1,5,10,8,1,112,1,1,1
122,1,1,1,5,10,1,2,113,0,1,0
122,1,1,1,5,10,9,3,114,0,1,0
122,1,1,1,5,10,3,4,115,0,0,0
122,1,1,1,5,10,10,5,116,1,1,1
122,1,1,1,5,10,4,6,117,0,1,0
122,1,1,1,5,10,7,10,119,0,0,1
122,1,1,1,5,10,5,11,120,1,1,1
122,1,1,1,5,10,2,12,121,0,1,0
112,1,0,1,5,10,8,1,122,1,1,1
112,1,0,1,5,10,2,2,123,0,1,0
112,1,0,1,5,10,5,3,124,0,1,0
112,1,0,1,5,10,10,4,125,1,1,1
112,1,0,1,5,10,3,5,126,1,1,1
112,1,0,1,5,10,9,6,127,1,1,1
112,1,0,1,5,10,1,7,128,1,1,1
112,1,0,1,5,10,7,8,129,1,1,1
112,1,0,1,5,10,4,9,130,0,0,1
112,1,0,1,5,10,6,10,131,0,0,0
137,1,1,1,6,5,5,1,132,0,0,1
137,1,1,1,6,5,1,2,133,0,0,0
137,1,1,1,6,5,2,3,134,1,1,1
137,1,1,1,6,5,4,5,135,0,0,1
137,1,1,1,6,5,3,6,136,0,0,1
132,1,0,1,6,5,5,1,137,0,1,0
132,1,0,1,6,5,2,2,138,0,1,0
132,1,0,1,6,5,3,4,139,0,1,0
132,1,0,1,6,5,4,6,140,1,1,1
132,1,0,1,6,5,1,10,141,0,1,0
158,1,1,2,7,16,1,1,142,0,0,1
158,1,1,2,7,16,2,2,143,0,0,1
158,1,1,2,7,16,5,3,144,0,0,1
158,1,1,2,7,16,6,4,145,0,0,1
158,1,1,2,7,16,12,5,146,0,0,1
158,1,1,2,7,16,11,6,147,0,0,1
158,1,1,2,7,16,10,7,148,0,0,1
158,1,1,2,7,16,9,8,149,0,0,1
158,1,1,2,7,16,16,9,150,0,0,1
158,1,1,2,7,16,14,10,151,0,0,1
158,1,1,2,7,16,4,11,152,0,0,1
158,1,1,2,7,16,3,12,153,0,0,1
158,1,1,2,7,16,7,13,154,0,0,1
158,1,1,2,7,16,13,14,155,0,0,1
158,1,1,2,7,16,15,15,156,0,0,1
