round,order,age,field_cd,race,goal,date,career_c,exphappy,round_p,order_p,age_p,field_cd_p,race_p,goal_p,date_p,career_c_p,exphappy_p,int_corr,match
10,1,22,1,4,2,7,1,3,10,1,23,1,4,1,3,1,4,-0.51,0
14,1,23,1,2,1,6,1,5,11,1,24,1,2,2,7,1,7,-0.05,0
19,1,21,1,2,1,4,1,5,16,1,24,1,2,1,4,1,5,0.03,0
10,1,27,1,6,1,6,9,5,10,1,35,3,4,2,4,4,5,-0.02,0
14,1,22,1,1,1,7,1,5,11,1,22,1,2,1,2,7,3,0.73,1
10,1,22,1,6,6,5,1,5,10,1,26,1,3,2,7,1,5,0.26,1
22,1,22,1,2,1,6,1,5,22,1,22,1,2,1,4,1,7,0.57,1
10,1,24,1,6,6,5,1,5,10,1,27,11,4,2,6,9,3,-0.17,1
18,1,25,1,1,2,7,1,5,18,1,25,1,6,1,3,1,5,-0.24,1
19,1,30,1,4,2,6,1,7,16,1,23,1,2,1,7,1,3,-0.44,0
10,2,23,1,2,1,5,1,1,10,2,22,1,2,1,1,1,7,-0.18,0
14,2,23,1,2,1,6,1,5,11,1,25,1,2,4,6,1,6,-0.05,0
16,2,24,1,2,1,4,1,5,19,2,24,3,2,1,3,2,7,0,0
14,2,22,1,1,1,7,1,5,11,2,24,1,2,2,7,1,7,0.01,1
19,2,30,1,4,2,6,1,7,16,1,24,1,3,5,6,1,2,-0.43,0
10,2,23,1,2,2,4,1,8,10,2,21,1,2,2,4,1,7,0.08,1
20,2,30,1,2,1,4,1,9,18,2,35,9,4,2,5,2,8,0.46,1
19,3,21,1,2,1,4,1,5,16,3,27,11,2,2,6,9,5,-0.01,0
18,3,25,1,1,2,7,1,5,18,3,32,10,3,2,4,4,7,0.17,1
18,3,24,1,2,2,5,1,6,19,3,25,15,4,2,7,6,4,-0.11,0
10,3,22,1,4,1,5,1,7,10,3,23,1,2,2,4,1,8,-0.46,1
10,4,23,1,2,1,5,1,1,10,4,23,1,2,2,4,1,8,-0.18,1
10,4,22,1,6,6,5,1,5,10,4,29,3,6,4,6,6,4,0.03,0
16,4,24,1,2,1,4,1,5,19,4,23,1,1,6,4,1,7,-0.32,1
19,4,21,1,2,1,4,1,5,16,4,27,3,2,2,6,7,7,-0.05,1
16,4,33,1,2,2,7,1,6,16,4,22,10,2,2,4,10,7,-0.15,0
11,4,25,1,2,4,6,1,6,14,5,27,9,4,2,7,7,7,-0.06,1
19,4,30,1,4,2,6,1,7,16,3,27,3,4,1,4,2,3,-0.22,0
16,5,23,1,1,1,4,1,2,19,5,30,8,2,1,6,2,8,-0.14,0
10,5,21,1,4,2,7,1,3,10,5,23,1,2,2,4,1,8,0.61,1
8,5,25,1,4,6,7,1,5,6,4,28,8,2,2,4,7,6,-0.09,0
10,5,27,1,6,1,6,9,5,10,5,24,8,4,6,4,7,6,-0.27,0
20,5,34,1,2,2,6,1,5,18,5,32,10,2,3,2,4,5,0.54,1
11,5,25,1,2,4,6,1,6,14,7,28,11,2,4,6,11,4,-0.11,1
11,5,27,1,4,2,6,1,6,14,8,22,1,1,1,7,1,5,-0.17,0
19,5,21,1,2,2,3,1,7,18,4,23,5,2,2,5,7,7,-0.05,1
10,5,22,1,4,1,5,1,7,10,5,24,1,3,1,4,1,5,-0.27,0
10,5,21,1,2,2,4,1,7,10,5,28,8,2,4,1,7,10,-0.13,1
16,6,23,1,1,1,4,1,2,19,6,23,1,2,1,5,1,3,-0.3,0
16,6,24,1,3,5,6,1,2,19,7,30,8,2,1,6,2,8,0.12,1
